"age" "year" "population"
40 1948 2.078552
60 1948 1.250876
0 1949 3.169644
20 1949 2.257371
40 1949 2.115385
60 1949 1.288833
0 1950 3.162567
20 1950 2.258243
40 1950 2.146026
60 1950 1.308533
0 1951 3.315027
20 1951 2.226752
40 1951 2.152206
60 1951 1.327936
0 1952 3.429237
20 1952 2.140294
40 1952 2.196027
60 1952 1.385931
0 1953 3.546301
20 1953 2.059911
40 1953 2.240392
60 1953 1.42497
0 1954 3.670654
20 1954 2.03313
40 1954 2.261167
60 1954 1.435218
0 1955 3.777404
20 1955 2.135741
40 1955 2.281314
60 1955 1.446324
0 1956 3.860003
20 1956 2.114781
40 1956 2.289541
60 1956 1.463365
0 1957 4.035155
20 1957 2.12241
40 1957 2.329121
60 1957 1.466903
0 1958 4.073113
20 1958 2.218649
40 1958 2.368515
60 1958 1.465009
0 1959 4.097383
20 1959 2.247873
40 1959 2.366032
60 1959 1.491951
0 1960 4.093802
20 1960 2.295794
40 1960 2.424758
60 1960 1.525828
0 1961 4.172988
20 1961 2.452277
40 1961 2.468852
60 1961 1.534453
0 1962 4.083751
20 1962 2.620396
40 1962 2.506986
60 1962 1.545564
0 1963 4.01251
20 1963 2.993742
40 1963 2.523791
60 1963 1.568398
0 1964 3.946853
20 1964 2.84674
40 1964 2.513549
60 1964 1.608903
0 1965 3.770049
20 1965 2.828397
40 1965 2.48812
60 1965 1.658851
0 1966 3.555346
20 1966 2.816582
40 1966 2.46545
60 1966 1.71065
0 1967 3.45
20 1967 3.882941
40 1967 2.441744
60 1967 1.763861
0 1968 3.366388
20 1968 3.619894
40 1968 2.409347
60 1968 1.805981
0 1969 3.412562
20 1969 3.642408
40 1969 2.368232
60 1969 1.830333
0 1970 3.508096
20 1970 3.653488
40 1970 2.422721
60 1970 1.91208
0 1971 3.601094
20 1971 3.796605
40 1971 2.304588
60 1971 1.856716
0 1972 3.305565
20 1972 3.895789
40 1972 2.255241
60 1972 1.866721
0 1973 3.128246
20 1973 3.998373
40 1973 2.256186
60 1973 1.897202
0 1974 3.065474
20 1974 4.102553
40 1974 2.225105
60 1974 1.903449
0 1975 3.152345
20 1975 4.187886
40 1975 2.272232
60 1975 1.928253
0 1976 3.115391
20 1976 4.243079
40 1976 2.304558
60 1976 1.901134
0 1977 3.278804
20 1977 4.400497
40 1977 2.331327
60 1977 1.893305
0 1978 3.326388
20 1978 4.417809
40 1978 2.412529
60 1978 1.93722
0 1979 3.426309
20 1979 4.419481
40 1979 2.454323
60 1979 2.020358
